frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
508913,Fairdeal Express Money Transfer Ltd,2021-01-01,0,05501832,See full details,01/11/2009,0,,PSD
508913,Fairdeal Express Money Transfer Ltd,2022-01-01,0,05501832,See full details,01/11/2009,0,,PSD
508913,Fairdeal Express Money Transfer Ltd,2023-01-01,0,05501832,See full details,01/11/2009,0,,PSD
508913,Fairdeal Express Money Transfer Ltd,2024-01-01,0,05501832,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2016-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2017-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2018-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2019-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2020-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2021-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2022-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2023-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508914,ANGELINA LIMITED,2024-01-01,0,06279877,See full details,01/11/2009,0,,PSD
508930,Travelex Card Services Limited,2016-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2017-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2018-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2019-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2020-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2021-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2022-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2023-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508930,Travelex Card Services Limited,2024-01-01,0,05429739,See full details,13/06/2012,0,,PSD
508955,Peniel Services Limited,2016-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2017-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2018-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2019-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2020-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2021-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2022-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2023-01-01,0,05689465,See full details,01/11/2009,0,,PSD
508955,Peniel Services Limited,2024-01-01,0,05689465,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2016-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2017-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2018-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2019-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2020-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2021-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2022-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2023-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509014,Mother Cash Limited,2024-01-01,0,06630071,See full details,01/11/2009,0,,PSD
509016,The Informed Partnership Limited,2016-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2017-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2018-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2019-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
509016,The Informed Partnership Limited,2020-01-01,0,07008093,Authorised,11/11/2009,12,Not hold and not control client money,Regulated
